Computed PI, The true PI, Error, Threads, Elapsed time(s)
3.141592653589436068273244, 3.141592653589793115997963, 0.000000000000357047724719, 1, 0.214568
3.141592653589739825292781, 3.141592653589793115997963, 0.000000000000053290705182, 2, 0.125810
3.141592653589833972205270, 3.141592653589793115997963, -0.000000000000040856207306, 3, 0.082047
3.141592653589784234213766, 3.141592653589793115997963, 0.000000000000008881784197, 4, 0.075685
3.141592653589786010570606, 3.141592653589793115997963, 0.000000000000007105427358, 5, 0.058867
3.141592653589826866777912, 3.141592653589793115997963, -0.000000000000033750779949, 6, 0.054842
3.141592653589785122392186, 3.141592653589793115997963, 0.000000000000007993605777, 7, 0.048466
3.141592653589782457856927, 3.141592653589793115997963, 0.000000000000010658141036, 8, 0.039509
3.141592653589763362020904, 3.141592653589793115997963, 0.000000000000029753977060, 9, 0.035587
3.141592653589816652726086, 3.141592653589793115997963, -0.000000000000023536728122, 10, 0.035376
3.141592653589823314064233, 3.141592653589793115997963, -0.000000000000030198066270, 11, 0.032803
3.141592653589828199045542, 3.141592653589793115997963, -0.000000000000035083047578, 12, 0.028286
3.141592653589776240607989, 3.141592653589793115997963, 0.000000000000016875389974, 13, 0.027139
3.141592653589811767744777, 3.141592653589793115997963, -0.000000000000018651746814, 14, 0.026483
3.141592653589802441871370, 3.141592653589793115997963, -0.000000000000009325873407, 15, 0.022989
3.141592653589801553692951, 3.141592653589793115997963, -0.000000000000008437694987, 16, 0.023635
