Computed PI, The true PI, Error, Cores, Elapsed time(s)
3.141592653589436068273244, 3.141592653589793115997963, 0.000000000000357047724719, 1, 0.210000
3.141592653589739825292781, 3.141592653589793115997963, 0.000000000000053290705182, 2, 0.240000
3.141592653589833972205270, 3.141592653589793115997963, -0.000000000000040856207306, 3, 0.250000
3.141592653589784234213766, 3.141592653589793115997963, 0.000000000000008881784197, 4, 0.250000
3.141592653589786010570606, 3.141592653589793115997963, 0.000000000000007105427358, 5, 0.250000
3.141592653589826866777912, 3.141592653589793115997963, -0.000000000000033750779949, 6, 0.250000
3.141592653589785122392186, 3.141592653589793115997963, 0.000000000000007993605777, 7, 0.260000
3.141592653589782901946137, 3.141592653589793115997963, 0.000000000000010214051827, 8, 0.260000
3.141592653589763806110113, 3.141592653589793115997963, 0.000000000000029309887850, 9, 0.260000
3.141592653589817096815295, 3.141592653589793115997963, -0.000000000000023980817332, 10, 0.270000
3.141592653589822869975023, 3.141592653589793115997963, -0.000000000000029753977060, 11, 0.260000
3.141592653589828643134751, 3.141592653589793115997963, -0.000000000000035527136788, 12, 0.270000
3.141592653589775796518779, 3.141592653589793115997963, 0.000000000000017319479184, 13, 0.260000
3.141592653589812211833987, 3.141592653589793115997963, -0.000000000000019095836024, 14, 0.280000
3.141592653589802441871370, 3.141592653589793115997963, -0.000000000000009325873407, 15, 0.270000
3.141592653589801553692951, 3.141592653589793115997963, -0.000000000000008437694987, 16, 0.290000
